"CENSUS_YEAR","GEO_CODE (POR)","GEO_LEVEL","GEO_NAME","GNR","DATA_QUALITY_FLAG","ALT_GEO_CODE","GEO_CODE (POW)","GEO_LEVEL","GEO_NAME","GNR","DATA_QUALITY_FLAG","ALT_GEO_CODE","Dim: Sex (3): Member ID: [1]: Total - Sex","Dim: Sex (3): Member ID: [2]: Male","Dim: Sex (3): Member ID: [3]: Female"
2016,"1001","2","Division No. 1",6.2,"00000","1001","1001","2","Division No. 1",3.6,"00000","1001",103730,47875,55855
2016,"1001","2","Division No. 1",6.2,"00000","1001","1002","2","Division No. 2",2.9,"00000","1002",120,60,60
2016,"1001","2","Division No. 1",6.2,"00000","1001","1003","2","Division No. 3",4.0,"00000","1003",55,25,30
2016,"1001","2","Division No. 1",6.2,"00000","1001","1004","2","Division No. 4",4.2,"00000","1004",30,10,20
2016,"1001","2","Division No. 1",6.2,"00000","1001","1006","2","Division No. 6",4.6,"00000","1006",85,40,45
2016,"1001","2","Division No. 1",6.2,"00000","1001","1007","2","Division No. 7",1.7,"00000","1007",200,80,125
2016,"1001","2","Division No. 1",6.2,"00000","1001","1009","2","Division No. 9",5.3,"00000","1009",50,35,20
2016,"1001","2","Division No. 1",6.2,"00000","1001","1010","2","Division No. 10",3.2,"00000","1010",675,540,135
2016,"1001","2","Division No. 1",6.2,"00000","1001","1209","2","Halifax",3.1,"00000","1209",45,30,15
2016,"1001","2","Division No. 1",6.2,"00000","1001","1301","2","Saint John",2.7,"00000","1301",20,15,10
2016,"1001","2","Division No. 1",6.2,"00000","1001","2466","2","Montréal",2.6,"00000","2466",25,15,10
2016,"1001","2","Division No. 1",6.2,"00000","1001","3506","2","Ottawa",2.8,"00000","3506",30,15,15
2016,"1001","2","Division No. 1",6.2,"00000","1001","3520","2","Toronto",2.9,"00000","3520",45,15,35
2016,"1001","2","Division No. 1",6.2,"00000","1001","3521","2","Peel",2.6,"00000","3521",20,15,10
2016,"1001","2","Division No. 1",6.2,"00000","1001","4806","2","Division No. 6",3.6,"00000","4806",35,25,10
2016,"1001","2","Division No. 1",6.2,"00000","1001","4811","2","Division No. 11",4.0,"00000","4811",50,35,15
2016,"1001","2","Division No. 1",6.2,"00000","1001","4816","2","Division No. 16",8.8,"01122","4816",505,460,45
2016,"1001","2","Division No. 1",6.2,"00000","1001","5915","2","Greater Vancouver",4.1,"00001","5915",20,10,10
2016,"1001","2","Division No. 1",6.2,"00000","1001","6106","2","Region 6",6.8,"00101","6106",20,20,0
2016,"1001","2","Division No. 1",6.2,"00000","1001","6204","2","Baffin",7.0,"00101","6204",55,55,0
2016,"1002","2","Division No. 2",7.9,"00000","1002","1001","2","Division No. 1",3.6,"00000","1001",680,555,125
2016,"1002","2","Division No. 2",7.9,"00000","1002","1002","2","Division No. 2",2.9,"00000","1002",4145,1430,2715
2016,"1002","2","Division No. 2",7.9,"00000","1002","1003","2","Division No. 3",4.0,"00000","1003",50,40,10
